AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	disease	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	source_name
100	SAMN06016559	sra	SRX2347715	2016-11-15	2130	992	SRR5019883	SRS1797987	GSM2390709	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016558	sra	SRX2347716	2016-11-15	2125	1010	SRR5019884	SRS1797988	GSM2390710	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016557	sra	SRX2347717	2016-11-15	2230	1003	SRR5019885	SRS1797989	GSM2390711	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016556	sra	SRX2347718	2016-11-15	1735	801	SRR5019886	SRS1797990	GSM2390712	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016554	sra	SRX2347719	2016-11-15	2345	1055	SRR5019887	SRS1797991	GSM2390713	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016553	sra	SRX2347720	2016-11-15	2089	957	SRR5019888	SRS1797992	GSM2390714	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016552	sra	SRX2347721	2016-11-15	2127	991	SRR5019889	SRS1797993	GSM2390715	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016551	sra	SRX2347722	2016-11-15	1910	883	SRR5019890	SRS1797994	GSM2390716	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016550	sra	SRX2347723	2016-11-15	1902	877	SRR5019891	SRS1797995	GSM2390717	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016548	sra	SRX2347724	2016-11-15	1857	859	SRR5019892	SRS1797996	GSM2390718	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016547	sra	SRX2347725	2016-11-15	2268	1046	SRR5019893	SRS1797997	GSM2390719	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016545	sra	SRX2347726	2016-11-15	2207	1023	SRR5019894	SRS1797998	GSM2390720	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016544	sra	SRX2347727	2016-11-15	2581	1168	SRR5019895	SRS1797999	GSM2390721	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016543	sra	SRX2347728	2016-11-15	2297	1040	SRR5019896	SRS1798000	GSM2390722	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
100	SAMN06016542	sra	SRX2347729	2016-11-15	1771	823	SRR5019897	SRS1798001	GSM2390723	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
101	SAMN06016541	sra	SRX2347730	2016-11-15	2595	1227	SRR5019898	SRS1798002	GSM2390724	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
101	SAMN06016540	sra	SRX2347731	2016-11-15	2475	1139	SRR5019899	SRS1798003	GSM2390725	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
101	SAMN06016538	sra	SRX2347732	2016-11-15	1989	922	SRR5019900	SRS1798004	GSM2390726	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
101	SAMN06016537	sra	SRX2347733	2016-11-15	2125	982	SRR5019901	SRS1798005	GSM2390727	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
101	SAMN06016536	sra	SRX2347734	2016-11-15	1678	789	SRR5019902	SRS1798006	GSM2390728	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
101	SAMN06016535	sra	SRX2347735	2016-11-15	2199	1018	SRR5019903	SRS1798007	GSM2390729	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
101	SAMN06016534	sra	SRX2347736	2016-11-15	2279	1054	SRR5019904	SRS1798008	GSM2390730	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
101	SAMN06016510	sra	SRX2347737	2016-11-15	1562	740	SRR5019905	SRS1798009	GSM2390731	Healthy Control	RNA-Seq	PRJNA353588	GEO	public	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-08-15	SRP093349	Thrombocytes
